股票代码,买入日期,买入价格,卖出日期,卖出价格,持仓天数,收益率,卖出原因
603393,2021-10-20,29.0,2021-10-21,30.2,1,0.03977931034482767,Maximum_Holding_Period
603395,2025-01-10,48.0,2025-01-13,45.599999999999994,1,-0.05160000000000015,Extreme_Risk_Stop
603396,2020-02-10,22.54,2020-02-11,24.1,1,0.06761029281277735,Maximum_Holding_Period
603396,2022-05-06,47.48,2022-05-09,49.26,1,0.035889469250210575,Maximum_Holding_Period
603396,2022-10-17,91.01,2022-10-18,89.18,1,-0.02170768047467304,Trend_Break_Stop
603396,2024-02-21,38.29,2024-02-22,40.28,1,0.0503717942021416,Maximum_Holding_Period
603398,2024-11-27,24.47,2024-11-28,27.96,1,0.1410236207601146,Maximum_Holding_Period
603398,2025-12-22,7.4,2025-12-23,7.76,1,0.0470486486486486,Maximum_Holding_Period
603398,2025-12-23,7.74,2025-12-24,7.71,1,-0.005475968992248069,Maximum_Holding_Period
603399,2026-06-01,17.57,2026-06-02,17.04,1,-0.03176505406943659,Trend_Break_Stop
603399,2026-06-02,18.13,2026-06-03,17.223499999999998,1,-0.05160000000000004,Extreme_Risk_Stop
603400,2026-07-28,37.05,2026-07-29,47.14,1,0.2707346828609987,Maximum_Holding_Period
603421,2024-04-25,5.94,2024-04-26,6.04,1,0.015235016835016869,Maximum_Holding_Period
603429,2021-01-18,29.83,2021-01-19,34.02,1,0.138862621521958,Maximum_Holding_Period
603429,2024-02-21,5.56,2024-02-22,5.82,1,0.04516258992805771,Maximum_Holding_Period
603439,2022-05-10,12.15,2022-05-11,12.21,1,0.003338271604938205,Trend_Break_Stop
603456,2020-02-20,17.65,2020-02-21,17.62,1,-0.0032997167138809165,Trend_Break_Stop
603459,2026-07-27,82.39,2026-07-28,88.55,1,0.07316635514018692,Maximum_Holding_Period
603466,2025-01-17,8.65,2025-01-20,8.72,1,0.0064924855491328886,Maximum_Holding_Period
603466,2025-04-16,8.82,2025-04-17,9.48,1,0.0732299319727892,Maximum_Holding_Period
603486,2021-08-11,185.99,2021-08-12,188.7,1,0.012970675842787039,Maximum_Holding_Period
603488,2020-06-15,6.86,2020-06-16,6.517,1,-0.05160000000000004,Extreme_Risk_Stop
603496,2024-04-22,25.0,2024-04-23,25.31,1,0.010799999999999966,Maximum_Holding_Period
